GENUS_CODE,SPCODE,TAXONNAME
NA,AAAA,NA
ACSP,AABR,Acropora abrotanoides
ACSP,AACU,Acropora aculeus
ASTS,AANN,Astrea annuligera
ACSP,AASP,Acropora aspera
ACAS,ABRE,Acanthastrea brevis
ACSP,ACAC,Acropora acuminata
ACAS,ACAS,Acanthastrea sp
ACSP,ACER,Acropora cerealis
ACSP,ACLA,Acropora clathrata
ACSP,ACPA,Acropora palmerae
ACSP,ACSP,Acropora sp
ASTS,ACUR,Astrea curta
ACSP,ACYT,Acropora cytherea
ACSP,ADIG,Acropora digitifera
ACAS,AECH,Acanthastrea echinata
ACSP,AFOR,Acropora formosa
ACSP,AGEM,Acropora gemmifera
ACSP,AGLO,Acropora globiceps
ASSP,AGRA,Astreopora gracilis
ACAS,AHEM,Acanthastrea hemprichii
ACSP,AHUM,Acropora humilis
ACSP,AHYA,Acropora hyacinthus
ACSP,AINT,Acropora intermedia
ACAS,AISH,Acanthastrea ishigakiensis
ASSP,ALIS,Astreopora listeri
ALSP,ALSP,Alveopora sp
ALSP,ALVE,Alveopora verrilliana
ACSP,AMIC,Acropora microclados
ACSP,AMON,Acropora monticulosa
ASSP,AMYR,Astreopora myriophthalma
ACSP,ANAS,Acropora nasuta
ACSP,ANOB,Acropora nobilis
ACSP,APAL,Acropora palifera
ACSP,APAN,Acropora paniculata
ASSP,ARAN,Astreopora randalli
ACAS,AREG,Acanthastrea regularis
ACSP,ARET,Acropora retusa
ACSP,AROB,Acropora robusta
ACSP,ARUD,Acropora rudis
ACSP,ASAM,Acropora samoensis
ACSP,ASPE,Acropora speciosa
ASSP,ASSP,Astreopora sp
ACSP,ASTR,Acropora striata
ASTS,ASTS,Astrea sp
ACSP,ASUR,Acropora surculosa
ACSP,ATEN,Acropora tenuis
ACSP,AVAL,Acropora valida
ACSP,AVER,Acropora verweyi
BASP,BASP,Balanophyllia sp
CALG,CALG,Crustose Coralline Algae
CASP,CASP,Caulastrea sp
CYPS,CCHA,Cyphastrea chalcidicum
COSP,CCOL,Coscinaraea columna
COSP,CEXE,Coscinaraea exesa
CLSP,CLSP,Cladiella sp
COES,CMAY,Coeloseris mayeri
CYPS,CMIC,Cyphastrea microphthalma
CYPS,COCE,Cyphastrea ocellina
COES,COES,Coeloseris sp.
COSP,COSP,Coscinaraea sp
CYPS,CSER,Cyphastrea serailia
CTSP,CTSP,Ctenactis sp
CYSP,CVAU,Cycloseris vaughani
CYPS,CYPS,Cyphastrea sp
CYSP,CYSP,Cycloseris sp
DESP,DESP,Dendronephthya sp
DISP,DHEL,Diploastrea heliopora
DIAS,DIAS,Diaseris sp
DISP,DISP,Diploastrea sp.
ECHL,ECHL,Echinophyllia sp
ECHP,ECHP,Echinopora sp
EUSP,ECRI,Euphyllia cristata
ECHL,EECH,Echinophyllia echinata
ECHP,EGEM,Echinopora gemmacea
ECHP,ELAM,Echinopora lamellosa
ECHP,EPAC,Echinopora pacificus
EUSP,EUSP,Euphyllia sp
FAVS,FABD,Favites abdita
FASP,FASP,Favia sp
FAVS,FAVS,Favites sp
FASP,FDAN,Favia danae
FASP,FFAV,Favia favus
FAVS,FFLE,Favites flexuosa
FUSP,FGRA,Fungia granulosa
FASP,FHEL,Favia helianthoides
FASP,FMAT,Favia matthaii
FASP,FPAL,Favia pallida
FASP,FROT,Favia rotumana
FUSP,FSCU,Fungia scutaria
FASP,FSTE,Favia stelligera
FUSP,FUDA,Fungia danai
FUSP,FUSP,Fungia sp
GASP,GAAS,Galaxea astreata
GARS,GARS,Gardineroseris
GASP,GASP,Galaxea sp
GONS,GEDW,Goniastrea edwardsi
GASP,GFAS,Galaxea fascicularis
GOSP,GFRU,Goniopora fruticosa
GOSP,GMIN,Goniopora minor
GONS,GONS,Goniastrea sp
