Date,Survey_Period,Observer,Plot_ID,Treatment,Species,Substrate,Size,Substrate_Height,Above_Below_Mesh
9/24/2024,Baseline,JC,1,Mesh,POCS,Rubble,2.7,,
9/24/2024,Baseline,JC,1,Mesh,POCS,Rubble,3.1,,
9/24/2024,Baseline,JC,1,Mesh,POCS,Rubble,2.2,,
9/24/2024,Baseline,JC,1,Mesh,POCS,Rubble,3.2,,
9/24/2024,Baseline,JC,1,Mesh,POCS,Rubble,0.8,,
9/24/2024,Baseline,JC,1,Mesh,POCS,Hard,1,,
9/24/2024,Baseline,JC,1,Mesh,MOSP,Rubble,3,,
9/24/2024,Baseline,JC,1,Mesh,MOSP,Hard,4.5,,
9/24/2024,Baseline,JC,1,Mesh,MOSP,Hard,3.8,,
9/24/2024,Baseline,JC,1,Mesh,MOSP,Hard,2.1,,
9/24/2024,Baseline,JC,1,Mesh,POSP,Rubble,3.6,,
9/24/2024,Baseline,JC,1,Mesh,POSP,Rubble,2.9,,
9/24/2024,Baseline,JC,1,Mesh,POSP,Hard,3.2,,
9/24/2024,Baseline,DTP,2,Control,MOSP,Hard,3.2,,
9/24/2024,Baseline,DTP,2,Control,MOSP,Hard,1.3,,
9/24/2024,Baseline,DTP,2,Control,MOSP,Rubble,2.3,,
9/24/2024,Baseline,DTP,2,Control,POSP,Rubble,3.2,,
9/24/2024,Baseline,DTP,2,Control,POCS,Rubble,2.2,,
9/24/2024,Baseline,DTP,2,Control,MOSP,Rubble,1.3,,
9/24/2024,Baseline,DTP,2,Control,POCS,Rubble,2.3,,
9/24/2024,Baseline,JC,3,Boulder,POCS,Hard,1,,
9/24/2024,Baseline,JC,3,Boulder,POCS,Hard,2.7,,
9/24/2024,Baseline,JC,3,Boulder,POCS,Hard,4.2,,
9/24/2024,Baseline,JC,3,Boulder,POCS,Hard,3,,
9/24/2024,Baseline,JC,3,Boulder,POSP,Hard,1.1,,
9/24/2024,Baseline,JC,3,Boulder,MOSP,Hard,1.3,,
9/24/2024,Baseline,JC,3,Boulder,MOSP,Hard,2.2,,
9/24/2024,Baseline,JC,3,Boulder,MOSP,Hard,1.8,,
9/24/2024,Baseline,JC,3,Boulder,MOSP,Hard,2,,
9/24/2024,Baseline,JC,3,Boulder,MOSP,Hard,1.5,,
9/24/2024,Baseline,JC,3,Boulder,MOSP,Hard,2.7,,
9/24/2024,Baseline,JC,3,Boulder,POSP,Rubble,0.8,,
9/24/2024,Baseline,JC,3,Boulder,POCS,Rubble,2.8,,
9/24/2024,Baseline,DTP,4,Control,POCS,Rubble,3.2,,
9/24/2024,Baseline,DTP,4,Control,POCS,Hard,3.3,,
9/24/2024,Baseline,CSC,5,Control,,,,,
9/25/2024,Baseline,IB,6,Mesh,POSP,Rubble,1.5,,
9/25/2024,Baseline,IB,6,Mesh,POSP,Rubble,1.2,,
9/24/2025,Baseline,CA,7,Boulder,,,,,
9/25/2024,Baseline,IB,8,Boulder,POSP,Hard,2,,
9/25/2024,Baseline,IB,8,Boulder,MCAP,Hard,4.8,,
9/25/2024,Baseline,IB,8,Boulder,MCAP,Hard,1.2,,
9/25/2024,Baseline,IB,8,Boulder,MCAP,Hard,4,,
9/25/2024,Baseline,IB,8,Boulder,MCAP,Hard,5,,
9/25/2024,Baseline,IB,8,Boulder,MCAP,Hard,3.8,,
9/25/2024,Baseline,IB,8,Boulder,MCAP,Hard,1.8,,
9/24/2025,Baseline,CA,9,Boulder,,,,,
9/25/2024,Baseline,IB,10,Control,POSP,Hard,3.9,,
9/25/2024,Baseline,IB,10,Control,MOSP,Rubble,1,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Hard,2.2,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Rubble,3.8,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Rubble,1,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Rubble,1.6,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Rubble,1,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Hard,4,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Rubble,3.6,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Rubble,1.6,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Rubble,3.8,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Rubble,2.5,,
9/24/2024,Baseline,CGA,11,Boulder,POSP,Rubble,5.2,,
9/24/2024,Baseline,CGA,11,Boulder,POSP,Rubble,2.2,,
9/24/2024,Baseline,CGA,11,Boulder,POSP,Rubble,2,,
9/24/2024,Baseline,CGA,11,Boulder,POSP,Rubble,1.7,,
9/24/2024,Baseline,CGA,11,Boulder,POSP,Rubble,3,,
9/24/2024,Baseline,CGA,11,Boulder,POSP,Rubble,1.6,,
9/24/2024,Baseline,CGA,11,Boulder,POSP,Rubble,1,,
9/24/2024,Baseline,CGA,11,Boulder,POSP,Rubble,1.4,,
9/24/2024,Baseline,CGA,11,Boulder,POSP,Hard,1.3,,
9/24/2024,Baseline,CGA,11,Boulder,POSP,Rubble,2.3,,
9/24/2024,Baseline,CGA,11,Boulder,POCS,Rubble,1.8,,
9/24/2024,Baseline,CGA,11,Boulder,POCS,Rubble,2.3,,
9/24/2024,Baseline,CGA,11,Boulder,PSSP,Hard,1.2,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Rubble,2.5,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Rubble,3,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Rubble,2,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Rubble,4,,
9/24/2024,Baseline,CGA,11,Boulder,MOSP,Rubble,3.5,,
9/25/2024,Baseline,IB,12,Mesh,POSP,Rubble,2.2,,
9/25/2024,Baseline,IB,12,Mesh,POCS,Rubble,2.3,,
9/24/2024,Baseline,CGA,13,Control,MOSP,Hard,2.5,,
9/24/2024,Baseline,CGA,13,Control,MOSP,Rubble,1,,
9/24/2024,Baseline,CGA,13,Control,MOSP,Rubble,1.8,,
9/24/2024,Baseline,CGA,13,Control,MOSP,Hard,5,,
9/24/2024,Baseline,CGA,13,Control,MOSP,Hard,3.3,,
9/24/2024,Baseline,CGA,13,Control,MOSP,Rubble,1,,
9/24/2024,Baseline,CGA,13,Control,MOSP,Hard,5,,
9/24/2024,Baseline,CGA,13,Control,POSP,Hard,2.3,,
9/24/2024,Baseline,CGA,13,Control,POSP,Rubble,4.1,,
9/24/2024,Baseline,CGA,13,Control,POSP,Hard,3.7,,
9/24/2024,Baseline,CGA,13,Control,POSP,Hard,4.7,,
9/24/2024,Baseline,CGA,13,Control,POSP,Hard,3.1,,
9/24/2024,Baseline,CGA,13,Control,POSP,Rubble,5,,
9/24/2024,Baseline,CGA,13,Control,POSP,Hard,5,,
9/24/2024,Baseline,CGA,13,Control,POSP,Hard,7.3,,
9/24/2024,Baseline,CGA,13,Control,POSP,Hard,1.2,,
9/24/2024,Baseline,CGA,13,Control,POCS,Rubble,2.5,,
9/24/2024,Baseline,CGA,13,Control,POCS,Hard,3,,
9/24/2024,Baseline,CGA,13,Control,POCS,Rubble,2.4,,
9/24/2024,Baseline,CGA,13,Control,POCS,Hard,2.4,,
9/25/2024,Baseline,IB,14,Mesh,POSP,Rubble,1.9,,
9/25/2024,Baseline,IB,14,Mesh,POSP,Hard,1.3,,
9/25/2024,Baseline,IB,14,Mesh,POSP,Rubble,1.6,,
9/25/2024,Baseline,IB,14,Mesh,POSP,Hard,1.5,,
9/25/2024,Baseline,IB,14,Mesh,POSP,Hard,2,,
9/25/2024,Baseline,IB,14,Mesh,POSP,Hard,0.8,,
9/25/2024,Baseline,IB,14,Mesh,POSP,Hard,4.3,,
9/25/2024,Baseline,IB,14,Mesh,POCS,Rubble,3.8,,
9/25/2024,Baseline,IB,14,Mesh,POCS,Hard,3.8,,
9/25/2024,Baseline,IB,14,Mesh,POCS,Hard,4.1,,
9/25/2024,Baseline,IB,14,Mesh,POCS,Rubble,3.6,,
9/25/2024,Baseline,IB,14,Mesh,POCS,Hard,2.5,,
9/25/2024,Baseline,IB,14,Mesh,POCS,Hard,3.1,,
9/25/2024,Baseline,IB,14,Mesh,POCS,Hard,1.4,,
9/25/2024,Baseline,IB,14,Mesh,MCAP,Rubble,2.1,,
9/25/2024,Baseline,IB,14,Mesh,MOSP,Rubble,5.3,,
9/25/2024,Baseline,IB,14,Mesh,MOSP,Hard,1.3,,
9/25/2024,Baseline,IB,14,Mesh,MCAP,Rubble,3.2,,
9/25/2024,Baseline,IB,14,Mesh,MCAP,Hard,3.2,,
9/25/2024,Baseline,IB,14,Mesh,MCAP,Hard,4.1,,
9/25/2024,Baseline,IB,14,Mesh,MCAP,Rubble,2.7,,
9/25/2024,Baseline,IB,14,Mesh,MCAP,Rubble,2.8,,
9/25/2024,Baseline,IB,14,Mesh,MOSP,Hard,1.4,,
9/25/2024,Baseline,IB,14,Mesh,MCAP,Rubble,3.2,,
9/25/2024,Baseline,IB,14,Mesh,MOSP,Hard,2.1,,
9/25/2024,Baseline,IB,14,Mesh,MCAP,Hard,3.2,,
9/25/2024,Baseline,JC,15,Boulder,POSP,Rubble,1.1,,
9/24/2024,Baseline,AS,16,Mesh,POSP,Hard,0.8,,
9/24/2024,Baseline,AS,16,Mesh,LEPT,Hard,1.1,,
9/25/2024,Baseline,JC,17,Boulder,POCS,Rubble,1.6,,
9/25/2024,Baseline,JC,17,Boulder,POCS,Rubble,2.3,,
9/25/2024,Baseline,JC,17,Boulder,POCS,Hard,2.9,,
9/25/2024,Baseline,JC,17,Boulder,POCS,Hard,2.2,,
9/25/2024,Baseline,JC,17,Boulder,POSP,Rubble,1.5,,
9/25/2024,Baseline,JC,17,Boulder,POSP,Hard,4.9,,
