Date,Survey_Period,Observer,Plot_ID,Treatment,Replicate,Point,Benthic_Code,RubblevHardvMesh,Rubble_Size,Above_Below_Mesh,Notes
9/24/2024,Baseline,JC,1,Mesh,1,1,TURFR,Rubble,3.5,,
9/24/2024,Baseline,JC,1,Mesh,1,2,TURFR,Rubble,3,,
9/24/2024,Baseline,JC,1,Mesh,1,3,TURFR,Rubble,5,,
9/24/2024,Baseline,JC,1,Mesh,1,4,TURFR,Rubble,11,,
9/24/2024,Baseline,JC,1,Mesh,1,5,TURFH,Hard,,,
9/24/2024,Baseline,JC,1,Mesh,1,6,PEB,,,,
9/24/2024,Baseline,JC,1,Mesh,1,7,TURFR,Rubble,14,,
9/24/2024,Baseline,JC,1,Mesh,1,8,TURFR,Rubble,4.5,,
9/24/2024,Baseline,JC,1,Mesh,1,9,TURFR,Rubble,4,,
9/24/2024,Baseline,JC,1,Mesh,1,10,CCAR,Rubble,4,,
9/24/2024,Baseline,JC,1,Mesh,1,11,TURFH,Hard,,,
9/24/2024,Baseline,JC,1,Mesh,1,12,SAND,,,,
9/24/2024,Baseline,JC,1,Mesh,1,13,EMA,Rubble,3.5,,
9/24/2024,Baseline,JC,1,Mesh,1,14,SAND,,,,
9/24/2024,Baseline,JC,1,Mesh,1,15,BGMA,Rubble,5,,
9/24/2024,Baseline,JC,1,Mesh,2,1,TURFR,Rubble,5.5,,
9/24/2024,Baseline,JC,1,Mesh,2,2,TURFH,Hard,,,
9/24/2024,Baseline,JC,1,Mesh,2,3,TURFH,Hard,,,
9/24/2024,Baseline,JC,1,Mesh,2,4,TURFH,Hard,,,
9/24/2024,Baseline,JC,1,Mesh,2,5,TURFH,Hard,,,
9/24/2024,Baseline,JC,1,Mesh,2,6,TURFR,Rubble,5,,
9/24/2024,Baseline,JC,1,Mesh,2,7,TURFR,Rubble,6.5,,
9/24/2024,Baseline,JC,1,Mesh,2,8,SAND,,,,
9/24/2024,Baseline,JC,1,Mesh,2,9,PEB,,,,
9/24/2024,Baseline,JC,1,Mesh,2,10,PEB,,,,
9/24/2024,Baseline,JC,1,Mesh,2,11,SAND,,,,
9/24/2024,Baseline,JC,1,Mesh,2,12,RUB,Rubble,10.5,,
9/24/2024,Baseline,JC,1,Mesh,2,13,TURFR,Rubble,19,,
9/24/2024,Baseline,JC,1,Mesh,2,14,TURFR,Rubble,3.5,,
9/24/2024,Baseline,JC,1,Mesh,2,15,TURFR,Rubble,5,,
9/24/2024,Baseline,JC,1,Mesh,3,1,CCAR,Rubble,2.5,,
9/24/2024,Baseline,JC,1,Mesh,3,2,TURFR,Rubble,2,,
9/24/2024,Baseline,JC,1,Mesh,3,3,SAND,,,,
9/24/2024,Baseline,JC,1,Mesh,3,4,TURFR,Rubble,3,,
9/24/2024,Baseline,JC,1,Mesh,3,5,SAND,,,,
9/24/2024,Baseline,JC,1,Mesh,3,6,SAND,,,,
9/24/2024,Baseline,JC,1,Mesh,3,7,TURFR,Rubble,2,,
9/24/2024,Baseline,JC,1,Mesh,3,8,TURFR,Rubble,3,,
9/24/2024,Baseline,JC,1,Mesh,3,9,SAND,,,,
9/24/2024,Baseline,JC,1,Mesh,3,10,CCAR,Rubble,3,,
9/24/2024,Baseline,JC,1,Mesh,3,11,TURFR,Rubble,4,,
9/24/2024,Baseline,JC,1,Mesh,3,12,SAND,,,,
9/24/2024,Baseline,JC,1,Mesh,3,13,SAND,,,,
9/24/2024,Baseline,JC,1,Mesh,3,14,TURFR,Rubble,9,,
9/24/2024,Baseline,JC,1,Mesh,3,15,CCAR,Rubble,2,,
9/24/2024,Baseline,JC,1,Mesh,4,1,TURFR,Rubble,2,,
9/24/2024,Baseline,JC,1,Mesh,4,2,SAND,,,,
9/24/2024,Baseline,JC,1,Mesh,4,3,TURFH,Hard,,,
9/24/2024,Baseline,JC,1,Mesh,4,4,TURFR,Rubble,4,,
9/24/2024,Baseline,JC,1,Mesh,4,5,SAND,,,,
9/24/2024,Baseline,JC,1,Mesh,4,6,TURFH,Hard,,,
9/24/2024,Baseline,JC,1,Mesh,4,7,TURFH,Hard,,,
9/24/2024,Baseline,JC,1,Mesh,4,8,TURFR,Rubble,6,,
9/24/2024,Baseline,JC,1,Mesh,4,9,TURFR,Rubble,3.5,,
9/24/2024,Baseline,JC,1,Mesh,4,10,CCAR,Rubble,3,,
9/24/2024,Baseline,JC,1,Mesh,4,11,TURFR,Rubble,2,,
9/24/2024,Baseline,JC,1,Mesh,4,12,TURFR,Rubble,6,,
9/24/2024,Baseline,JC,1,Mesh,4,13,TURFR,Rubble,4,,
