"Survey_Period","Treatment","Plot_ID","colony_abun"
"Baseline","Boulder","11",29
"Baseline","Boulder","15",1
"Baseline","Boulder","17",34
"Baseline","Boulder","21",3
"Baseline","Boulder","22",2
"Baseline","Boulder","25",1
"Baseline","Boulder","3",14
"Baseline","Boulder","7",1
"Baseline","Boulder","8",7
"Baseline","Boulder","9",1
"Baseline","Control","10",2
"Baseline","Control","13",21
"Baseline","Control","19",3
"Baseline","Control","2",7
"Baseline","Control","20",12
"Baseline","Control","23",4
"Baseline","Control","26",1
"Baseline","Control","29",6
"Baseline","Control","4",2
"Baseline","Control","5",1
"Baseline","Mesh","1",13
"Baseline","Mesh","12",2
"Baseline","Mesh","14",26
"Baseline","Mesh","16",2
"Baseline","Mesh","18",2
"Baseline","Mesh","24",4
"Baseline","Mesh","27",6
"Baseline","Mesh","28",5
"Baseline","Mesh","30",3
"Baseline","Mesh","6",2
"T0_Post_Installation","Boulder","11",20
"T0_Post_Installation","Boulder","15",18
"T0_Post_Installation","Boulder","17",15
"T0_Post_Installation","Boulder","21",21
"T0_Post_Installation","Boulder","22",29
"T0_Post_Installation","Boulder","25",22
"T0_Post_Installation","Boulder","3",17
"T0_Post_Installation","Boulder","7",18
"T0_Post_Installation","Boulder","8",13
"T0_Post_Installation","Boulder","9",37
"T0_Post_Installation","Control","10",2
"T0_Post_Installation","Control","13",21
"T0_Post_Installation","Control","19",3
"T0_Post_Installation","Control","2",7
"T0_Post_Installation","Control","20",12
"T0_Post_Installation","Control","23",4
"T0_Post_Installation","Control","26",1
"T0_Post_Installation","Control","29",6
"T0_Post_Installation","Control","4",2
"T0_Post_Installation","Control","5",1
"T0_Post_Installation","Mesh","1",11
"T0_Post_Installation","Mesh","12",1
"T0_Post_Installation","Mesh","14",26
"T0_Post_Installation","Mesh","16",1
"T0_Post_Installation","Mesh","18",1
"T0_Post_Installation","Mesh","24",4
"T0_Post_Installation","Mesh","27",3
"T0_Post_Installation","Mesh","28",1
"T0_Post_Installation","Mesh","30",2
"T0_Post_Installation","Mesh","6",1
"T1_6mo_preoutplant","Boulder","11",67
"T1_6mo_preoutplant","Boulder","15",24
"T1_6mo_preoutplant","Boulder","17",32
"T1_6mo_preoutplant","Boulder","21",32
"T1_6mo_preoutplant","Boulder","22",45
"T1_6mo_preoutplant","Boulder","25",49
"T1_6mo_preoutplant","Boulder","3",39
"T1_6mo_preoutplant","Boulder","7",27
"T1_6mo_preoutplant","Boulder","8",41
"T1_6mo_preoutplant","Boulder","9",48
"T1_6mo_preoutplant","Control","10",1
"T1_6mo_preoutplant","Control","13",11
"T1_6mo_preoutplant","Control","19",1
"T1_6mo_preoutplant","Control","2",13
"T1_6mo_preoutplant","Control","20",16
"T1_6mo_preoutplant","Control","23",21
"T1_6mo_preoutplant","Control","26",2
"T1_6mo_preoutplant","Control","29",5
"T1_6mo_preoutplant","Control","4",6
"T1_6mo_preoutplant","Control","5",4
"T1_6mo_preoutplant","Mesh","1",7
"T1_6mo_preoutplant","Mesh","12",1
"T1_6mo_preoutplant","Mesh","14",25
"T1_6mo_preoutplant","Mesh","16",1
"T1_6mo_preoutplant","Mesh","18",2
"T1_6mo_preoutplant","Mesh","24",6
"T1_6mo_preoutplant","Mesh","27",6
"T1_6mo_preoutplant","Mesh","28",2
"T1_6mo_preoutplant","Mesh","30",7
"T1_6mo_preoutplant","Mesh","6",5
